OBJECTID,DruhNehody,HlavniPricina,Zavineni,Datum,Den,DenNoc,Alkohol,Usmrceno,Tezce,Lehce,StavPovrchu,Pocasi,SpecifikaceMista,DruhVozidla,Smyk,Skoda,X,Y,x,y
2763,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/9/2018,Čtvrtek,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.615153677,49.19090386,1849590.4467756297,6307316.082778568
2765,Srážka s jedoucím nekolejovým vozidlem,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/9/2018,Čtvrtek,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Zastávka MHD,Osobní automobil,Ne,110000,16.571746677,49.193549003,1844758.4016387658,6307766.649683637
2767,Srážka s pevnou překážkou,Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,8/9/2018,Čtvrtek,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,90000,16.57256068,49.1946870620001,1844849.0160382318,6307960.511160826
2768,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/9/2018,Čtvrtek,Den,Pod vlivem alkoholu,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,5000,16.548116683,49.1978912230001,1842127.9227392406,6308506.344592657
2770,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/10/2018,Pátek,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,10000,16.5967256770001,49.2105438610001,1847539.0511992944,6310662.085241423
2771,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/10/2018,Pátek,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.6303696860001,49.210113839,1851284.2851494187,6310588.809574648
2778,Havárie,Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,8/11/2018,Sobota,Den,Ne,0,0,0,Mokrý,Slabý déšť,Žádné,Osobní automobil,Ano,40000,16.636090682,49.1927409620001,1851921.1435109668,6307629.007487086
2780,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/11/2018,Sobota,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,10000,16.5363926860001,49.221714395,1840822.8133631395,6312565.765471219
2781,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/10/2018,Pátek,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.621326679,49.2032374940001,1850277.6222149383,6309417.168270334
2782,Havárie,Nepřiměřená rychlost jízdy,Řidičem motorového vozidla,8/12/2018,Neděle,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Motocykl,Ne,5000,16.6441666760001,49.215326093,1852820.1590506989,6311477.019622652
2787,Srážka s chodcem,Nezaviněná řidičem,Chodcem,8/13/2018,Pondělí,Den,Ne,0,1,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,0,16.624423677,49.191608902,1850622.3784552848,6307436.17547784
2788,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/13/2018,Pondělí,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.6260106840001,49.20470957,1850799.0432664116,6309667.977499872
2792,Srážka s jedoucím nekolejovým vozidlem,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/14/2018,Úterý,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,30000,16.5936456810001,49.2105608640001,1847196.1876129291,6310664.982562475
